painter_id,wikipedia_slug,painter_name,summary,url
2941,Pavel_Filonov,Pavel Filonov,"Pavel Nikolayevich Filonov (Russian: Па́вел Никола́евич Фило́нов, IPA: [ˈpavʲɪl nʲɪkɐˈlajɪvʲɪtɕ fʲɪˈlonəf] ; January 8, 1883 – December 3, 1941) was a Russian avant-garde painter, art theorist, and poet.",https://en.wikipedia.org/wiki/Pavel_Filonov
2942,Peder_Severin_Krøyer,Peder Severin Krøyer,"Peder Severin Krøyer (Danish: [ˈpʰe̝ːðɐ ˈse̝vəˌʁiˀn ˈkʰʁʌjˀɐ]; 23 July 1851 – 21 November 1909), also known as P. S. Krøyer, was a Danish painter.",https://en.wikipedia.org/wiki/Peder_Severin_Kr%C3%B8yer
2943,Pedro_Álvarez_Castelló,Pedro Álvarez Castelló,"Pedro Reinaldo Álvarez Castelló (February 9, 1967 – February 12, 2004) was a Cuban artist who rose to prominence during Cuba's Special Period.",https://en.wikipedia.org/wiki/Pedro_%C3%81lvarez_Castell%C3%B3
2944,Pedro_Figari,Pedro Figari,"Pedro Figari (June 29, 1861 – July 24, 1938) was a Uruguayan painter, lawyer, writer, and politician.  Although he did not begin the practice until his later years, he is best known as an early modernist painter who emphasized capturing the everyday aspects of life in his work.  In most of his pieces, he attempts to capture the essence of his home by painting local customs that he had observed in his childhood.
Figari painted primarily from memory, a technique that gives his work a far more personal feeling.  With his unique style, which involved painting without the intention to create an illusion, he, along with other prominent Latin-American artists such as Diego Rivera and Tarsila do Amaral, sparked a revolution of identity in the art world of Latin America.",https://en.wikipedia.org/wiki/Pedro_Figari
2945,Pedro_Pedraja,Pedro Pedraja,Pedro Pedraja (born 1974) is a Spanish painter living in Great Britain.,https://en.wikipedia.org/wiki/Pedro_Pedraja
2946,Peggy_Angus,Peggy Angus,"Margaret MacGregor Angus (9 November 1904 – 28 October 1993) was a British painter, designer and teacher. Born in Chile, she spent her career in Britain.",https://en.wikipedia.org/wiki/Peggy_Angus
2947,Peggy_Bacon,Peggy Bacon,"Margaret Frances Bacon (May 2, 1895 – January 4, 1987)  was an American artist, best known for her satirical caricatures.
Bacon studied under Kenneth Hayes Miller at the Art Students League of New York, where she taught herself drypoint and published her first caricatures in the student magazine. They soon appeared in publications such as The New Yorker and Vanity Fair, as well as major art galleries. Bacon earned many awards, including the Guggenheim Fellowship for creative work in the graphic arts.",https://en.wikipedia.org/wiki/Peggy_Bacon
2948,Penelope_Beaton,Penelope Beaton,"Penelope Beaton ARSA RSW (1886-1963) was a Scottish watercolour painter influenced by the expressionism movement. A member of both the Royal Scottish Academy and the Royal Society of Watercolour Painters, Beaton was both an alumna and a senior lecturer at the Edinburgh College of Art and had her work exhibited widely across Scotland.",https://en.wikipedia.org/wiki/Penelope_Beaton
2949,Penleigh_Boyd,Penleigh Boyd,"Theodore Penleigh Boyd (15 August 1890 – 27 November 1923) was an Australian artist.
Penleigh Boyd was a member of the Boyd artistic dynasty: his parents Arthur Merric Boyd (1862–1940) and Emma Minnie Boyd (née à Beckett) were well-known artists of the day, and his brothers included the ceramicist Merric Boyd (1888–1959) and the novelist Martin Boyd (1893–1972). His son Robin Boyd (1919–1971) became a famous and influential architect, educator and social commentator, and his nephews Arthur Boyd, Guy Boyd and David Boyd became prominent artists.
Penleigh Boyd is best known as a landscapist with an accomplished handling of evanescent effects of light. A notable influence was artist E. Phillips Fox, who introduced him to plein air techniques when they were neighbours in Paris in 1912–3. At his death his obituarists compared him to Arthur Streeton and rated him as one of the most promising painters of his generation.",https://en.wikipedia.org/wiki/Penleigh_Boyd
2950,Penny_Rimbaud,Penny Rimbaud,"Penny Lapsang Rimbaud (born Jeremy John Ratter, 1943) is a writer, poet, philosopher, painter, musician and activist. He was a member of the performance art groups EXIT and Ceres Confusion, and in 1972 was co-founder of the Stonehenge Free Festival, together with Phil Russell aka Wally Hope. In 1977 with Steve Ignorant, he co-founded the seminal anarchist punk band Crass and served as its drummer. Crass disbanded in 1984. Until 2000 Rimbaud devoted himself almost entirely to writing, returning to the public platform in 2001 as a performance poet working with Australian saxophonist Louise Elliott and a wide variety of jazz musicians under the umbrella of Last Amendment.",https://en.wikipedia.org/wiki/Penny_Rimbaud
