painter_id,wikipedia_slug,painter_name,summary,url
3121,Richard_Demarco,Richard Demarco,Richard Demarco CBE (born 9 July 1930 in Edinburgh) is a Scottish artist and promoter of the visual and performing arts.,https://en.wikipedia.org/wiki/Richard_Demarco
3122,Richard_Diebenkorn,Richard Diebenkorn,"Richard Diebenkorn (April 22, 1922 – March 30, 1993) was an American painter and printmaker. His early work is associated with abstract expressionism and the Bay Area Figurative Movement of the 1950s and 1960s. In the late 1960s he began his extensive series of geometric, lyrical abstract paintings. Known as the Ocean Park paintings, these paintings were instrumental to his achievement of worldwide acclaim.",https://en.wikipedia.org/wiki/Richard_Diebenkorn
3123,Richard_Estes,Richard Estes,"Richard Estes (born May 14, 1932, in Kewanee, Illinois) is an American artist, best known for his photorealist paintings. The paintings generally consist of reflective, clean, and inanimate city and geometric landscapes. He is regarded as one of the founders of the international photo-realist movement of the late 1960s, with such painters as John Baeder, Chuck Close, Robert Cottingham, Audrey Flack, Ralph Goings, and Duane Hanson.  Author Graham Thompson writes ""One demonstration of the way photography became assimilated into the art world is the success of photorealist painting in the late 1960s and early 1970s.  It is also called super-realism or hyper-realism and painters like Richard Estes, Denis Peterson, Audrey Flack, and Chuck Close often worked from photographic stills to create paintings that appeared to be photographs.""",https://en.wikipedia.org/wiki/Richard_Estes
3124,Richard_Gerstl,Richard Gerstl,"Richard Gerstl (14 September 1883 – 4 November 1908) was an Austrian painter and draughtsman known for his expressive psychologically insightful portraits, his lack of critical acclaim during his lifetime, and his affair with the wife of Arnold Schoenberg, which led to his suicide.",https://en.wikipedia.org/wiki/Richard_Gerstl
3125,Richard_Gordon_Kendall,Richard Gordon Kendall,"Richard Gordon Kendall (also spelled Kendell; 17 November 1933 Paris, Texas – 30 January 2008 Paris, Texas) was an American self-taught artist who, beginning around 1995, began to be chronicled as an outsider artist – in a folk artist.",https://en.wikipedia.org/wiki/Richard_Gordon_Kendall
3126,Richard_Gruelle,Richard Gruelle,"Richard Buckner Gruelle (February 22, 1851 – November 8, 1914) was an American Impressionist painter, illustrator, and author, who is best known as one of the five Hoosier Group artists. Gruelle's masterwork is The Canal—Morning Effect (1894), a painting of the Indianapolis, Indiana skyline, but he is also known for his watercolors and marine landscapes of the Gloucester, Massachusetts, area. In 1891 Indiana poet James Whitcomb Riley commissioned Gruelle to illustrate two of his more notable poems, ""When the Frost is on the Punkin'"" and ""The Old Swimmin' Hole,"" which were published in Neighborly Poems (1891). Gruelle is also the author of Notes, Critical and Biographical: Collection of W. T. Walters (1895), which provides a detailed description of Baltimore industrialist William Thompson Walters's extensive art collection.
Born in Cynthiana, Kentucky, the self-taught artist is the only one of the Hoosier Group painters without European training. Gruelle grew up in Arcola, Illinois, apprenticed as a house and sign painter, and established his first studio in Decatur, Illinois, where he began by painting portraits and domestic scenes before turning to landscapes. Gruelle relocated to Indianapolis, Indiana, in 1882 to pursue a career as a full-time landscape painter. Gruelle also made extended sketching trips to the East Coast of the United States. Gruelle and his wife moved to Norwalk, Connecticut, in 1910. Gruelle was a member of several arts organizations, including the Art Association of Indianapolis (forerunner to the present-day Indianapolis Museum of Art), the New Canaan Society of Artists, the Society of Western Artists, and the Knockers, an East Coast art group. Although he only occasionally exhibited his art in national exhibitions, one a notable exception was the Louisiana Purchase Exposition at Saint Louis, Missouri, in 1904.
Gruelle's eldest son, Johnny Gruelle (1880–1938), became a commercial artist, illustrator, and author, who is best known as the creator of the Raggedy Ann doll and related books and illustrations.",https://en.wikipedia.org/wiki/Richard_Gruelle
3127,Richard_Hamilton_(artist),Richard Hamilton (artist),"Richard  William Hamilton  (24 February 1922 – 13 September 2011) was an English painter and collage artist. His 1955 exhibition Man, Machine and Motion (Hatton Gallery, Newcastle upon Tyne) and his 1956 collage Just what is it that makes today's homes so different, so appealing?, produced for the This Is Tomorrow exhibition of the Independent Group in London, are considered by critics and historians to be among the earliest works of pop art. A major retrospective of his work was at Tate Modern in 2014.",https://en.wikipedia.org/wiki/Richard_Hamilton_(artist)
3128,Richard_Mayhew,Richard Mayhew,"Richard Mayhew (born April 3, 1924) is an Afro-Native American landscape painter, illustrator, and arts educator. His abstract, brightly colored landscapes are informed by his experiences as an African American/Native American and his interest in Jazz and the performing arts. He lives and works in Soquel and Santa Cruz, California.",https://en.wikipedia.org/wiki/Richard_Mayhew
3129,Richard_Mortensen,Richard Mortensen,Richard Mortensen (23 October 1910 – 6 January 1993) was a Danish painter.,https://en.wikipedia.org/wiki/Richard_Mortensen
3130,Richard_Parkes_Bonington,Richard Parkes Bonington,"Richard Parkes Bonington (25 October 1802 – 23 September 1828) was an English Romantic landscape painter, who moved to France at the age of 14 and can also be considered as a French artist, and an intermediary bringing aspects of English style to France. Becoming, after his early death, one of the most influential British artists of his time, the facility of his style was inspired by the old masters, yet was entirely modern in its application. His landscapes were mostly of coastal scenes, with a low horizon and large sky, showing a brilliant handling of light and atmosphere. He also painted small historical cabinet paintings in a freely-handled version of the troubadour style.",https://en.wikipedia.org/wiki/Richard_Parkes_Bonington
